stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
40.08867917,,-88.295204165,DNCNPMDW,http://www.cumtd.com/maps-and-schedules/bus-stops/info/dncnpmdw,,,Duncan and Prairie Meadow,1,
40.07155378,,-88.2498024433,WDFLDABT,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdfldabt,,,Woodfield and Arbour Town Place,1,
40.078037262,,-88.2583007812,GLNSLBY:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/glnslby,GLNSLBY,,Galen & Salisbury (SW Corner),0,
40.1425214436,,-88.2617381944,BRDWLKTCB,http://www.cumtd.com/maps-and-schedules/bus-stops/info/brdwlktcb,,,Boardwalk and Town Center Blvd,1,
40.08957333,,-88.25748167,PSPCTDVN:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctdvn,PSPCTDVN,,Prospect & Devonshire (SE Corner),0,
40.1037777778,,-88.1867055556,HNTRLNR:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/hntrlnr,HNTRLNR,,Hunter & Lanore (SW Corner),0,
40.105724165,,-88.17816,WASHTIM,http://www.cumtd.com/maps-and-schedules/bus-stops/info/washtim,,,Washington and Timothy Tr.,1,
40.098315,,-88.20029667,FLADRSN:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/fladrsn,FLADRSN,,Florida & Anderson (SW Corner),0,
40.133855,,-88.162891665,HICRSNDLD,http://www.cumtd.com/maps-and-schedules/bus-stops/info/hicrsndld,,,High Cross and Nordland,1,
40.14447167,,-88.23943167,MKTPLCNMKT:8,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mktplcnmkt,MKTPLCNMKT,,Mkt Plc North Ent. & Market,0,
40.142696835,,-88.259971835,TCBMJR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/tcbmjr,,,Town Center at Meijer,1,
40.14459667,,-88.23912333,MKTPLCNMKT:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mktplcnmkt,MKTPLCNMKT,,Mkt Plc North Ent. & Market,0,
40.14433333,,-88.23927333,MKTPLCNMKT:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mktplcnmkt,MKTPLCNMKT,,Mkt Plc North Ent. & Market,0,
40.110634,,-88.221187,GRNGRGST:8,http://www.cumtd.com/maps-and-schedules/bus-stops/info/grngrgst,GRNGRGST,,Green & Gregory (NW Far Side),0,
40.12537833,,-88.262645,MCNLYERKA:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mcnlyerka,MCNLYERKA,,McKinley & Eureka (SE Corner),0,
40.11835667,,-88.21948,LNCLNCHCH:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lnclnchch,LNCLNCHCH,,Lincoln & Church (NW Corner),0,
40.11815,,-88.21932,LNCLNCHCH:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lnclnchch,LNCLNCHCH,,Lincoln & Church (SE Corner),0,
40.12551167,,-88.26275167,MCNLYERKA:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mcnlyerka,MCNLYERKA,,McKinley & Eureka (NW Corner),0,
40.10599,,-88.28126667,CRSNTWLM:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crsntwlm,CRSNTWLM,,Crescent & William (SE Corner),0,
40.1274306675,,-88.270733835,BRADWMBG,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bradwmbg,,,Bradley and Williamsburg,1,
40.11834,,-88.26245833,CHCHMCNLY:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/chchmcnly,CHCHMCNLY,,Church & McKinley (NE Corner),0,
40.11446833,,-88.24358667,NEILWHT,http://www.cumtd.com/maps-and-schedules/bus-stops/info/neilwht,,,Neil and White,1,
